"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","200 Expertos","Putumayo","TEAM RACING MOCOA","Honda","47.469","16","6","15","","",""
"2","563","Jhon Jader Valero Palencia","200 Expertos","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","50.306","16","16","13","42.883","42.883",""
"3","76-E","Oscar Andres Correa Gomez","200 Expertos","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","53.617","14","2","11","2 Vueltas","2 Vueltas",""
"NE","386","Frank Stiven ZAMBRANO ABELLO","200 Expertos","Putumayo","TEAM RACING MOCOA","Yamaha","","1","0","0","NE","13 Vueltas",""
"NE","479","Cristian Felipe CHAVARRO RODRIGUEZ","200 Expertos","Nariño","MOTOCLUB IPIALES","Yamaha","","","0","0","NE","",""
"EX","243","David Fernando BURBANO GOMEZ","200 Expertos","Putumayo","TEAM RACING MOCOA","Honda","50.140","16","16","0","EX","","No cumple con reglamento técnico"
