"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","336","DAVID ALEJANDRO IBARRA ECHEVERRY","Libre novatos","Putumayo","CLUB EXTREME RACING","Kymco","50.999","15","6","15","","",""
"2","444","Faber Andrés giraldo","Libre novatos","Valle del Cauca","Carasucias","KTM","51.699","15","7","13","6.356","6.356",""
"3","81","Santiago Garcés Jiménez","Libre novatos","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","51.948","15","3","11","7.710","1.354",""
"4","122","","Libre novatos","Putumayo","","Husqvarna","52.321","15","4","10","15.982","8.272",""
"5","175-E","JHONIER ALEJANDRO CRUZ JUAJIBIOY","Libre novatos","Putumayo","CLUB EXTREME RACING","Yamaha","51.823","15","3","9","23.497","7.515",""
"6","264","Gelber eduardo acosta lopez","Libre novatos","Putumayo","CLUB EXTREME RACING","KTM","52.634","15","3","8","27.428","3.931",""
"7","61","Luis Fernando LOPEZ","Libre novatos","Putumayo","CLUB EXTREME RACING","Husqvarna","52.200","15","6","7","54.729","27.301",""
"8","139","","Libre novatos","","","","54.195","14","7","6","1 Vuelta","1 Vuelta",""
"9","58","Diego Ignacio ROJAS ROSERO","Libre novatos","Nariño","CLUB DEPORTIVO BUFALO XTREM","Honda","56.615","13","9","5","2 Vueltas","1 Vuelta",""
"10","832","Roberto Carlos Campaña Cuellar","Libre novatos","Putumayo","CLUB EXTREME RACING","KTM","1:01.423","12","6","4","3 Vueltas","1 Vuelta",""
"11","317","Andrés Parmenio MORENO ZARATE","Libre novatos","Putumayo","CLUB EXTREME RACING","Husqvarna","1:00.012","12","9","3","3 Vueltas","7.171",""
"NT","111","Víctor Sebastian Termal Hernández","Libre novatos","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","","","0","0","NT","",""
