"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","335","JOSE LUIS IBARRA VALLEJO","Master","33","0","Kymco","Putumayo","CLUB EXTREME RACING","3","15","15"
"2","523","Richard Alexander ALARCON ALVAREZ","Master","28","5","Yamaha","Putumayo","CLUB EXTREME RACING","2","13","13"
"3","331","Mauricio BARRIOS REYES","Master","23","10","Honda","Putumayo","CLUB EXTREME RACING","1","11","11"
"4","227","CARLOS ALBERTO LUCERO","Master","21","12","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1","10","10"
"5","311","Henry MORENO BENAVIDES","Master","18","15","Yamaha","Nariño","CLUB MOTEROS RIDERS LA UNION","1","9","8"
"6","202","Ivan Dario BENAVIDES FAJARDO","Master","17","16","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","7","9"
"7","317","Andrés Parmenio MORENO ZARATE","Master","16","17","Husqvarna","Putumayo","CLUB EXTREME RACING","1","8","7"
"8","123","MILLER SAUL MARIN QUINTERO","Master","6","27","Husqvarna","Putumayo","CLUB EXTREME RACING","0","6","0"
