"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","200 Expertos","Putumayo","TEAM RACING MOCOA","Honda","45.911","16","4","15","","",""
"2","563","Jhon Jader Valero Palencia","200 Expertos","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","48.237","16","16","13","15.346","15.346",""
"3","76-E","Oscar Andres Correa Gomez","200 Expertos","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","50.491","15","4","11","1 Vuelta","1 Vuelta",""
"NE","386","Frank Stiven ZAMBRANO ABELLO","200 Expertos","Putumayo","TEAM RACING MOCOA","Yamaha","","","0","0","NE","",""
"NE","479","Cristian Felipe CHAVARRO RODRIGUEZ","200 Expertos","Nariño","MOTOCLUB IPIALES","Yamaha","","","0","0","NE","",""
"EX","243","David Fernando BURBANO GOMEZ","200 Expertos","Putumayo","TEAM RACING MOCOA","Honda","47.808","16","5","0","EX","","No cumple con reglamento tecnico"
