"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","801","Samuel MAYA SANCHEZ","INFANTIL","33","0","Yamaha","Valle del Cauca","Carasucias","3","15","15"
"2","53-E","Neymar Stiven Penagos","INFANTIL","24","9","KTM","Putumayo","TEAM RACING MOCOA","0","13","11"
"3","272","Maximiliano TEJADA GONZALEZ","INFANTIL","15","18","GasGas","Cauca","CLUB CORONA","2","0","13"
"4","127","Jeronimo SANTANDER MONTENEGRO","INFANTIL","11","22","KTM","Putumayo","CLUB EXTREME RACING","1","0","10"
"5","215","Sebastian LOPEZ CORTES","INFANTIL","9","24","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","0","0","9"
"6","528","DANIEL ALEXIS CUARAN ANGULO","INFANTIL","9","24","","PUTUMAYO","","1","0","8"
"7","319","Samuel BELTRÁN PRIETO","INFANTIL","1","32","KTM","Tolima","GR 522 RACING","1","0","0"
"NT","255","Juan Jose LEYTON ERASO","INFANTIL","0","33","Cobra","Risaralda","CLUB LOS GUEPARDOS","--","0","0"
