"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","255","JUAN JOSE LEYTON","INFANTIL MINI","31","0","","RISARALDA","","3","13","15"
"2","319","Samuel BELTRÁN PRIETO","INFANTIL MINI","30","1","KTM","Tolima","GR 522 RACING","2","15","13"
"3","444","EMILIANO GIRALDO GOMEZ","INFANTIL MINI","23","8","","CAUCA","","1","11","11"
"NT","795","SARA AHILEN MUÑOZ PORTILLA","INFANTIL MINI","0","31","Husqvarna","Putumayo","CLUB EXTREME RACING","0","0","0"
