"Pos.","N°","Nombre","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior"
"1","640","Steven Quito Rodriguez","59.888","3","",""
"2","897","Octavio VELEZ GAVIRIA","1:01.520","1","1.632","1.632"
"3","131","Christian Andres RUBIO PARDO","1:02.533","1","2.645","1.013"
"4","98","Mateo CASTELLANOS CARVAJAL","1:02.687","3","2.799","0.154"
"5","244","Andrés Felipe Aldana jaramillo","1:03.032","1","3.144","0.345"
"6","619","Camilo Andres Suarez Cardenas","1:03.079","2","3.191","0.047"
"7","141","William Moncada Sepulveda","1:03.118","2","3.230","0.039"
"8","46","Maria Paula ARIAS MEDINA","1:03.193","3","3.305","0.075"
"9","293","Fenky Jhoan Infante carmona","1:03.833","1","3.945","0.640"
"10","698","Luis Felipe Patino Lopez","1:03.964","2","4.076","0.131"
"11","484","Jonattan HERNANDEZ MURCIA","1:04.160","1","4.272","0.196"
"12","360","Andrés Felipe SÁNCHEZ RODRÍGUEZ","1:04.651","4","4.763","0.491"
"13","930","George Michael herrera Trujillo","1:04.907","1","5.019","0.256"
"14","71","Christian Restrepo Henao","1:05.185","5","5.297","0.278"
"15","79","GUSTAVO ADOLFO ZAPATA VANEGAS","1:05.186","4","5.298","0.001"
"16","558","fabian yesid sanabria zea","1:05.539","3","5.651","0.353"
"17","879","Sergio David PACHÓN GARZÓN","1:05.689","2","5.801","0.150"
"18","573","Vicente Arturo Parada Reyes","1:05.912","2","6.024","0.223"
"19","940","Jhosswa Norvey Restrepo Libreros","1:06.057","1","6.169","0.145"
"20","639","John Freddy Ricardo Belalcázar","1:06.261","2","6.373","0.204"
"21","820","Johan Andersson RONDEROS DIAZ","1:06.995","1","7.107","0.734"
"22","64","JONATTAN URREGO HERNÁNDEZ","1:08.507","4","8.619","1.512"
"23","393","daniel alejandro gomez narvaez","1:09.108","3","9.220","0.601"
"24","186","Jonathan FARFAN","1:11.418","3","11.530","2.310"
"25","280","Christian David POSADA GONZALEZ","1:13.480","1","13.592","2.062"
"26","544","ACERCARSE A SECRETARIA","1:16.674","4","16.786","3.194"
"27","400","Brayan Alejandro Pérez Heredia","1:18.491","1","18.603","1.817"
"28","87","gerson caleb serrano daza","","0","",""
"29","122","Jeison David Sanchez Restrepo","","0","",""
"30","779","Rafael Andrés Rojas Ibáñez","","0","",""
"31","964","Daniel Alberto Castro Hurtado","","0","",""
