"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","28","Jose Miguel GONZALEZ HERNANDEZ","15","SM expertos - Metzeler","","55.124","","Quindío","CLUB MONSTER GARAGE","8"
"2","726","Nicolas MILLAN MURILLO","13","SM expertos - Metzeler","0.001","55.154","","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"3","41","Nicolas DUQUE PATIÑO","11","SM expertos - Metzeler","4.838","55.300","","Meta","VILLAVICENCIO RACING CLUB","8"
"4","227","Rigo German SALAZAR CERON","10","SM expertos - Metzeler","8.990","54.683","","Quindío","CLUB MONSTER GARAGE","8"
"5","272","Alfonso Gustavo LINARES OCHOA","9","SM expertos - Metzeler","10.132","56.578","","Bogotá D.C.","Todo terreno track","8"
"6","931","Cesar Augusto VALDIVIESO VARGAS","8","SM expertos - Metzeler","10.600","56.295","","Cundinamarca","CLUB GIRARDOT RACING","8"
"7","119","Cesar Alfonso TELLEZ OCAMPO","7","SM expertos - Metzeler","13.064","56.628","","Santander","CLUB FLORIDA EXTREMO","8"
"8","59","Carlos Andres Urrea Henao","6","SM expertos - Metzeler","13.289","56.522","","Antioquia","CLUB GRILLOS RACING","8"
"9","52","Edgar Andres JARAMILLO GOMEZ","5","SM expertos - Metzeler","13.875","56.949","","Antioquia","CLUB MOTOCROSS YARUMAL","8"
"10","721","Juan Andres RODRIGUEZ ARIAS","4","SM expertos - Metzeler","15.221","56.631","","Caldas","CLUB MX PRO","8"
"11","98","Mateo CASTELLANOS CARVAJAL","3","SM expertos - Metzeler","25.067","55.496","","Caldas","CLUB JHC RACING","8"
"12","243","David Fernando BURBANO GOMEZ","2","SM expertos - Metzeler","37.164","55.887","","Putumayo","TEAM RACING MOCOA","8"
"13","189","Luis Felipe PALOMINO MEJIA","1","SM expertos - Metzeler","1 Vuelta","57.079","","Tolima","CLUB PISTON RACING","7"
"NT","375","Wilderman RAMIREZ","0","SM expertos - Metzeler","NT","58.417","","Antioquia","CLUB GRILLOS RACING","2"
