"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","272","Alfonso Gustavo LINARES OCHOA","15","Super sport","","58.458","","Bogotá D.C.","Todo terreno track","8"
"2","726","Nicolas MILLAN MURILLO","13","Super sport","7.778","59.695","","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"3","52","Edgar Andres JARAMILLO GOMEZ","11","Super sport","7.829","59.616","","Antioquia","CLUB MOTOCROSS YARUMAL","8"
"4","49","Andres Felipe RONCERIA SILVA","10","Super sport","13.155","1:00.372","","Bogotá D.C.","Todo terreno track","8"
"5","304","Pedro Alejandro GALINDO AMAYA","9","Super sport","27.402","1:02.190","","Bogotá D.C.","Racing pilots Academy","8"
"6","810","Gustavo Adolfo FERRO CORCHUELO","8","Super sport","33.916","1:02.671","","Bogotá D.C.","Xspeed Racing","8"
"7","245","Johann Andres SUSA VALENCIA","7","Super sport","35.995","1:02.885","","Bogotá D.C.","Racing pilots Academy","8"
"8","542","Cristian David HENAO PINTO","6","Super sport","39.937","1:02.772","","Bogotá D.C.","Racing pilots Academy","8"
"9","237","Osval Luis LAMBRAÑO MOTTA","5","Super sport","55.517","1:05.473","","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","8"
"10","476-E","JONATTAN URREGO HERNÁNDEZ","0","Super sport","1:49.119","53.288","","Valle del Cauca","MOTOCLUB TRAVESURAS","8"
