"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","714","Oscar Alejandro RUIZ RESTREPO","15","150 cc Master","","1:04.884","","Antioquia","CLUB LOS PASKINES","8"
"2","227","Rigo German SALAZAR CERON","13","150 cc Master","3.550","1:05.854","","Quindío","CLUB MONSTER GARAGE","8"
"3","888","Jorge Yair BERNAL SUAREZ","11","150 cc Master","6.725","1:05.941","","Cundinamarca","CLUB GIRARDOT RACING","8"
"4","710","Alexander DIAZ CASTAÑO","10","150 cc Master","23.865","1:07.321","","Cundinamarca","CLUB GIRARDOT RACING","8"
"5","286","Pedro Reynell BARAJAS BARRIOS","9","150 cc Master","23.900","1:07.754","","Tolima","CLUB PISTON RACING","8"
"6","928","Luis Carlos POLANCO GAMBOA","8","150 cc Master","24.440","1:08.149","","Huila","CLUB MOTO JAPONESA","8"
"7","617","Julio Ferney RODRIGUEZ MONTAÑA","7","150 cc Master","41.517","1:10.470","","Tolima","CLUB PISTON RACING","8"
"8","769","Juan Carlos BUILES MARIN","6","150 cc Master","56.466","1:12.207","","Antioquia","CLUB GRILLOS RACING","8"
"9","637","Jhon Jairo RAMIREZ VASQUEZ","5","150 cc Master","58.574","1:11.987","","Antioquia","CLUB GRILLOS RACING","8"
"10","722","Edwin JARAMILLO GALLEGO","4","150 cc Master","1 Vuelta","1:08.623","","Quindío","CLUB MONSTER GARAGE","7"
"NT","119","Cesar Alfonso TELLEZ OCAMPO","0","150 cc Master","NT","1:05.752","","Santander","CLUB FLORIDA EXTREMO","6"
"NT","106","Jose Wilson SAAVEDRA BARRERA","0","150 cc Master","NT","1:12.665","","Antioquia","CLUB GRILLOS RACING","2"
"NT","935","Carlos Alberto RAMIREZ JIMENEZ","0","150 cc Master","NT","1:15.629","","Caldas","CLUB MX PRO","1"
"NT","162","ALEXANDER GUARIN SALAZAR","0","150 cc Master","NT","","","Quindío","CLUB MONSTER GARAGE",""
"NT","204","Andres Felipe LONDOÑO TRUJILLO","0","150 cc Master","NT","","","Antioquia","CLUB GRILLOS RACING",""
"NT","690","Juan Pablo ARCILA ORTIZ","0","150 cc Master","NT","","","Antioquia","CLUB GRILLOS RACING",""
"NT","78","Hugo Alexander TOVAR OSORIO","0","150 cc Master","NT","","","Caldas","CLUB RACING PERFORMANCE",""
"NT","169","Hoover Alberto ORTIZ OSORIO","0","150 cc Master","NT","","","Valle del Cauca","Dos Ruedas Racing Team",""
"NT","451","Sebastian RUIZ PELAEZ","0","150 cc Master","NT","","","Antioquia","CLUB LOS PASKINES",""
"NT","83","Guillermo Augusto DIAZ","0","150 cc Master","NT","","","Quindío","CLUB MONSTER GARAGE",""
"NT","317","Andrés Parmenio MORENO ZARATE","0","150 cc Master","NT","","","Putumayo","CLUB EXTREME RACING",""
"NT","460","Alvaro TAMAYO MEDINA","0","150 cc Master","NT","","","Tolima","CLUB MOTORBIKE",""
"NT","27","Lisandro VASQUEZ RAMIREZ","0","150 cc Master","NT","","","Valle del Cauca","MOTOCLUB TRAVESURAS",""
