"Pos.","N°","Nombre","Puntos","Clase","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas"
"1","41","Nicolas DUQUE PATIÑO","15","200 cc 2T A/A","","1:03.054","","Meta","VILLAVICENCIO RACING CLUB","8"
"2","714","Oscar Alejandro RUIZ RESTREPO","13","200 cc 2T A/A","0.004","1:02.909","","Antioquia","CLUB LOS PASKINES","8"
"3","528","Juan Andres MARIN ARANGO","11","200 cc 2T A/A","0.042","1:03.050","","Valle del Cauca","MOTOCLUB TRAVESURAS","8"
"4","166","Johan Camilo GIRALDO RAMIREZ","10","200 cc 2T A/A","0.576","1:01.919","","Quindío","CLUB MONSTER GARAGE","8"
"5","28","Jose Miguel GONZALEZ HERNANDEZ","9","200 cc 2T A/A","1.594","1:03.251","","Quindío","CLUB MONSTER GARAGE","8"
"6","243","David Fernando BURBANO GOMEZ","8","200 cc 2T A/A","1.598","1:03.003","","Putumayo","TEAM RACING MOCOA","8"
"7","227","Rigo German SALAZAR CERON","7","200 cc 2T A/A","3.771","1:02.899","","Quindío","CLUB MONSTER GARAGE","8"
"8","98","Mateo CASTELLANOS CARVAJAL","6","200 cc 2T A/A","10.575","1:03.663","","Caldas","CLUB JHC RACING","8"
"9","429","Valentina MARTINEZ TRUJILLO","5","200 cc 2T A/A","13.114","1:04.499","","Tolima","CLUB PISTON RACING","8"
"10","314","Andres Felipe GONZALEZ CIFUENTES","4","200 cc 2T A/A","13.181","1:04.265","","Meta","SUTA RACING CLUB","8"
"11","390","Leider Johan ACEVEDO PERILLA","3","200 cc 2T A/A","20.042","1:04.920","","Cesar","K-LIMA RACING","8"
"12","137","Alvaro Javier PLAZAS GONZALEZ","2","200 cc 2T A/A","20.134","1:05.042","","Cauca","CLUB CORONA CLUB XTREME PARK","8"
"13","107-E","Andres Felipe SERNA BELTRAN","1","200 cc 2T A/A","23.485","1:05.098","","Tolima","CLUB PISTON RACING","8"
"14","207","David Alejandro FORERO ZAPATA","1","200 cc 2T A/A","33.595","1:03.469","","Putumayo","TEAM RACING MOCOA","8"
"15","617","Julio Ferney RODRIGUEZ MONTAÑA","1","200 cc 2T A/A","45.659","1:08.282","","Tolima","CLUB PISTON RACING","8"
"16","722","Edwin JARAMILLO GALLEGO","0","200 cc 2T A/A","54.306","1:09.017","","Quindío","CLUB MONSTER GARAGE","8"
"NT","155","Juan Felipe HERNANDEZ ALZATE","0","200 cc 2T A/A","NT","1:03.181","","Meta","CLUB LLANEROS RANCING","4"
"NT","17","Cristian Camilo VASQUEZ POSADA","0","200 cc 2T A/A","NT","1:05.657","","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","4"
"NT","343","Juan Pablo BURBANO GOMEZ","0","200 cc 2T A/A","NT","1:09.253","","Putumayo","TEAM RACING MOCOA","4"
"NT","637","Jhon Jairo RAMIREZ VASQUEZ","0","200 cc 2T A/A","NT","1:12.609","","Antioquia","CLUB GRILLOS RACING","1"
"NT","745-E","Jeronimo HENAO MARIN","0","200 cc 2T A/A","NT","","","Cauca","CLUB CORONA CLUB XTREME PARK",""
"EX","214","Gabriel Alejandro VALDIVIESO FLOREZ","0","200 cc 2T A/A","EX","1:05.599","","Bogotá D.C.","Racing pilots Academy","4"
