"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","125 cc","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1:19.434","17","","23:28.688"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","13","125 cc","Husqvarna","Putumayo","TEAM RACING MOCOA","19.254","1:19.418","17","","23:47.942"
"3","777","Euclides Antonio TORRES ROSALES","11","125 cc","KTM","Bogotá D.C.","Xspeed Racing","42.807","1:21.541","17","","24:11.495"
"4","228","Jeronimo DAMELINES LOAIZA","10","125 cc","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","46.989","1:21.884","17","","24:15.677"
"5","222","Maximiliano RAMIREZ RESTREPO","9","125 cc","Yamaha","Antioquia","STUNT FIVE","1 Vuelta","1:24.096","16","","23:36.664"
"6","321","Jorge Esteban VARGAS GONZALES","8","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","1:26.500","16","","24:18.341"
"7","281","Moises BETANCUR OCHOA","7","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:26.590","16","","24:28.799"
"8","247","Martin Estrada Zapata","6","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:28.189","16","","24:30.778"
"9","710","Juan David MENDOZA DUARTE","5","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1 Vuelta","1:27.593","16","","24:42.325"
"10","630","Samuel Andres PINTO DUARTE","4","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","2 Vueltas","1:30.914","15","","23:46.787"
"11","700","Maximiliano GUERRA ALVAREZ","3","125 cc","Yamaha","Antioquia","CLUB GRILLOS RACING","2 Vueltas","1:25.618","15","","24:55.755"
"12","113","Tomas VERGARA ARANZAZU","2","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","2 Vueltas","1:27.232","15","","24:57.280"
"13","244","Alejandro ANGEL ISAZA","1","125 cc","Yamaha","Valle del Cauca","Carasucias","3 Vueltas","1:25.940","14","","24:08.841"
"14","331","Juan Pablo CARMONA GIRALDO","1","125 cc","GasGas","Bogotá D.C.","Todo terreno track","5 Vueltas","1:32.031","12","","24:20.208"
"NT","411","Juan Sebastian GIRON CARVAJAL","0","125 cc","Yamaha","Risaralda","CLUB LOS GUEPARDOS","NT","","","",""
"NT","454","Mateo ALVAREZ GONZALEZ","0","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","","","",""
