"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","555","Luciana MORENO SALCEDO","15","Femenina A","Yamaha","Bogotá D.C.","Xspeed Racing","","1:32.105","11","","18:00.696"
"2","141","Isabela VILLEGAS BRAND","13","Femenina A","Yamaha","Valle del Cauca","Team Potenza","19.332","1:34.110","11","","18:20.028"
"3","18-E","Jenifer Cristina QUIÑONEZ RICO","11","Femenina A","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","26.336","1:34.503","11","","18:27.032"
"4","828","Karol Melisa VARGAS CARVAJAL","10","Femenina A","LGP Mobility","Antioquia","CLUB MOTOCROSS YARUMAL","40.195","1:36.284","11","","18:40.891"
"5","727","Alexandra NARVAEZ OLAYA","9","Femenina A","Honda","Risaralda","CLUB LOS GUEPARDOS","1:09.771","1:35.145","11","","19:10.467"
