"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","141","Isabela VILLEGAS BRAND","Femenina A","1:28.826","2","3","15","13"
"2","555","Luciana MORENO SALCEDO","Femenina A","1:28.982","8","1","9","15"
"3","828","Karol Melisa VARGAS CARVAJAL","Femenina A","1:32.483","9","1","13","10"
"4","18-E","Jenifer Cristina QUIÑONEZ RICO","Femenina A","1:29.745","10","1","11","11"
"5","727","Alexandra NARVAEZ OLAYA","Femenina A","1:29.178","12","2","10","9"
