"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","919","David CHACON GUZMAN","15","Mx Pro","Honda","Bogotá D.C.","Todo terreno track","","1:17.993","17","","22:51.629"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","13","Mx Pro","Husqvarna","Putumayo","TEAM RACING MOCOA","51.153","1:19.493","17","","23:42.782"
"3","211","Yeison Alexander QUIÑONES RICO","11","Mx Pro","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","1:34.841","1:20.242","17","","24:26.470"
"4","54","Thomas ZULUAGA GIRALDO","10","Mx Pro","Yamaha","Antioquia","CLUB GRILLOS RACING","1 Vuelta","1:22.598","16","","23:06.552"
"5","60","Juan Esteban Montoya","9","Mx Pro","Husqvarna","Tolima","GR 522 RACING","1 Vuelta","1:22.777","16","","23:12.465"
"6","235","Paco TORRES CASTAÑEDA","8","Mx Pro","Yamaha","Bogotá D.C.","Xspeed Racing","1 Vuelta","1:23.932","16","","23:36.160"
"7","107","Miguel Angel FLOREZ VALENCIA","7","Mx Pro","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:25.686","16","","23:48.028"
"NT","627","JERONIMO ROMAN VELASQUEZ","0","Mx Pro","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","","","",""
