"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","919","David CHACON GUZMAN","Mx Pro","1:16.147","0","3","15","15"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","Mx Pro","1:17.275","5","2","13","13"
"3","54","Thomas ZULUAGA GIRALDO","Mx Pro","1:18.857","11","1","11","10"
"4","211","Yeison Alexander QUIÑONES RICO","Mx Pro","1:18.587","14","1","7","11"
"5","235","Paco TORRES CASTAÑEDA","Mx Pro","1:21.429","14","1","10","8"
"6","60","Juan Esteban Montoya","Mx Pro","1:19.561","15","1","8","9"
"7","107","Miguel Angel FLOREZ VALENCIA","Mx Pro","1:23.426","16","1","9","7"
"8","627","JERONIMO ROMAN VELASQUEZ","Mx Pro","1:20.579","32","1","0","0"
