"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","707-E","Cristian Felipe Aguirre Vélez","Inicio","1:25.254","0","2","15","15"
"2","227","Leonel giraldo jaramillo","Inicio","1:24.501","6","3","13","10"
"3","821-E","John Fredy Hernández Osorio","Inicio","1:25.541","8","1","10","13"
"4","75","Juan Pablo Cardona Carvajal","Inicio","1:26.117","9","1","11","11"
