"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","53","Simón RESTREPO GUZMAN","15","Mx Pre-expertos","LGP Mobility","Antioquia","CLUB MOTOCROSS YARUMAL","","1:22.695","13","","19:01.107"
"2","529","Esteban GONZALEZ LOPEZ","13","Mx Pre-expertos","Honda","Valle del Cauca","Club VALLE","2.353","1:23.872","13","","19:03.460"
"3","213","Jhon Alexander PICON BOLAÑOS","11","Mx Pre-expertos","GasGas","Cesar","VIRUS RACING","39.383","1:25.666","13","","19:40.490"
"4","821-E","John Fredy Hernández Osorio","10","Mx Pre-expertos","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","1:11.195","1:25.882","13","","20:12.302"
"5","811","SEBASTIAN LOPEZ MONCAYO","9","Mx Pre-expertos","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","1:14.396","1:28.867","13","","20:15.503"
"6","336","DAVID ALEJANDRO IBARRA ECHEVERRY","8","Mx Pre-expertos","Unite Motor","Putumayo","CLUB EXTREME RACING","1 Vuelta","1:29.065","12","","19:39.336"
"7","612","Alejandro DIAZ GARCIA","7","Mx Pre-expertos","Yamaha","Valle del Cauca","Carasucias","1 Vuelta","1:31.911","12","","19:39.717"
"8","227","Leonel giraldo jaramillo","6","Mx Pre-expertos","Yamaha","Tolima","GR 522 RACING","1 Vuelta","1:26.503","12","","19:42.487"
"9","29","Jeronimo PIEDRAHITA HINCAPIE","5","Mx Pre-expertos","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","2 Vueltas","1:28.866","11","","20:03.558"
"10","269","Jhon santiago HERNANDEZ BERMUDEZ","4","Mx Pre-expertos","Husqvarna","Valle del Cauca","Carasucias","5 Vueltas","1:31.789","8","","20:24.885"
"NT","454","Mateo ALVAREZ GONZALEZ","0","Mx Pre-expertos","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","","","",""
