"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","Mx 2","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1:17.439","17","","23:00.312"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","13","Mx 2","KTM","Putumayo","TEAM RACING MOCOA","6.618","1:18.300","17","","23:06.930"
"3","228","Jeronimo DAMELINES LOAIZA","11","Mx 2","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","52.660","1:20.500","17","","23:52.972"
"4","54","Thomas ZULUAGA GIRALDO","10","Mx 2","Yamaha","Antioquia","CLUB GRILLOS RACING","56.924","1:20.024","17","","23:57.236"
"5","777","Euclides Antonio TORRES ROSALES","9","Mx 2","KTM","Bogotá D.C.","Xspeed Racing","58.687","1:20.818","17","","23:58.999"
"6","627","JERONIMO ROMAN VELASQUEZ","8","Mx 2","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:22.282","16","","24:00.397"
"7","710","Juan David MENDOZA DUARTE","7","Mx 2","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1 Vuelta","1:24.841","16","","24:10.533"
"8","211","Yeison Alexander QUIÑONES RICO","6","Mx 2","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","1 Vuelta","1:20.635","16","","24:18.306"
"9","529","Esteban GONZALEZ LOPEZ","5","Mx 2","Honda","Valle del Cauca","Club VALLE","1 Vuelta","1:25.648","16","","24:21.102"
"10","107","Miguel Angel FLOREZ VALENCIA","4","Mx 2","Honda","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:27.396","16","","24:24.227"
"NT","141","Isabela VILLEGAS BRAND","0","Mx 2","Yamaha","Valle del Cauca","Team Potenza","NT","","","",""
