"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","139","Valentino ZULETA CARDONA","15","65 cc","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1:30.963","12","","19:06.625"
"2","888","Maximiliano YEPES ZAMORANO","13","65 cc","Yamaha","Antioquia","CLUB GRILLOS RACING","1:28.311","1:34.684","12","","20:34.936"
"3","916","Oskar David VERGARA ARIZA","11","65 cc","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","1 Vuelta","1:39.839","11","","19:16.791"
"4","716","Thomas Andres MAHECHA CARRILLO","10","65 cc","Yamaha","Bogotá D.C.","Racing pilots Academy","1 Vuelta","1:44.294","11","","20:08.074"
"5","215","Sebastian LOPEZ CORTES","9","65 cc","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","2 Vueltas","1:44.758","10","","19:26.701"
"6","206","Juan Martin HOYOS VASQUEZ","8","65 cc","Yamaha","Antioquia","STUNT FIVE","2 Vueltas","1:52.511","10","","19:53.833"
"7","35","Juan Angel MORALES GALLEGO","7","65 cc","Yamaha","Antioquia","CLUB GRILLOS RACING","2 Vueltas","1:31.736","10","","21:09.050"
"8","232","thiago martinez mogollon","6","65 cc","KTM","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","3 Vueltas","2:02.870","9","","20:17.415"
