"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","111","Martin OSPINA CUELLO","15","85 cc Mini","Yamaha","Bogotá D.C.","Xspeed Racing","","1:22.986","13","","19:13.731"
"2","139","Valentino ZULETA CARDONA","13","85 cc Mini","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","10.302","1:25.087","13","","19:24.033"
"3","120","Matias GOMEZ ORJUELA","11","85 cc Mini","KTM","Bogotá D.C.","Todo terreno track","12.162","1:26.055","13","","19:25.893"
"4","413","Samuel Emilio CAMACHO PAEZ","10","85 cc Mini","KTM","Bogotá D.C.","Xspeed Racing","14.901","1:25.694","13","","19:28.632"
"5","420","Esteban ARCILA ACEVEDO","9","85 cc Mini","GasGas","Risaralda","CLUB LOS GUEPARDOS","15.849","1:25.781","13","","19:29.580"
"6","626","Juan Antonio PIEDRAHITA VARELA","8","85 cc Mini","KTM","Risaralda","CLUB LOS GUEPARDOS","1:15.855","1:25.859","13","","20:29.586"
"7","888","Maximiliano YEPES ZAMORANO","7","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","1 Vuelta","1:31.928","12","","19:37.055"
"8","388-E","SANTIAGO BASELGA BRITTO","6","85 cc Mini","Kawasaki","Cesar","K-LIMA RACING","1 Vuelta","1:34.988","12","","19:57.468"
"9","35","Juan Angel MORALES GALLEGO","5","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","1 Vuelta","1:30.457","12","","20:07.840"
"10","31","Agustin Toro Montoya","4","85 cc Mini","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","2 Vueltas","1:43.135","11","","20:17.106"
"NT","28","Sofia ESCOBAR HINCAPIE","0","85 cc Mini","Husqvarna","Caldas","CLUB VILLAMARIA RACING CLUB","NT","","","",""
