"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","916","Oskar David VERGARA ARIZA","1","65 cc","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","","","","",""
"2","35","Juan Angel MORALES GALLEGO","1","65 cc","Yamaha","Antioquia","CLUB GRILLOS RACING","","","","",""
"3","215","Sebastian LOPEZ CORTES","1","65 cc","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","","","","",""
"4","206","Juan Martin HOYOS VASQUEZ","1","65 cc","Yamaha","Antioquia","STUNT FIVE","","","","",""
"5","139","Valentino ZULETA CARDONA","3","65 cc","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","","","",""
"6","232","thiago martinez mogollon","1","65 cc","KTM","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","","","","",""
"7","716","Thomas Andres MAHECHA CARRILLO","1","65 cc","Yamaha","Bogotá D.C.","Racing pilots Academy","","","","",""
"8","888","Maximiliano YEPES ZAMORANO","2","65 cc","Yamaha","Antioquia","CLUB GRILLOS RACING","","","","",""
