"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","Juvenil","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1:13.336","13","","16:44.130"
"2","420","Esteban ARCILA ACEVEDO","13","Juvenil","GasGas","Risaralda","CLUB LOS GUEPARDOS","26.157","1:16.398","13","","17:10.287"
"3","113","Tomas VERGARA ARANZAZU","11","Juvenil","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","26.584","1:15.936","13","","17:10.714"
"4","139","Valentino ZULETA CARDONA","10","Juvenil","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","27.162","1:14.421","13","","17:11.292"
"5","710","Juan David MENDOZA DUARTE","9","Juvenil","Yamaha","Meta","VILLAVICENCIO RACING CLUB","39.623","1:15.453","13","","17:23.753"
"6","626","Juan Antonio PIEDRAHITA VARELA","8","Juvenil","GasGas","Risaralda","CLUB LOS GUEPARDOS","40.357","1:15.662","13","","17:24.487"
"7","130","Santiago GUTIERREZ CASTILLO","7","Juvenil","GasGas","Bogotá D.C.","Todo terreno track","1:02.066","1:18.324","13","","17:46.196"
"8","413","Samuel Emilio CAMACHO PAEZ","6","Juvenil","GasGas","Bogotá D.C.","Xspeed Racing","1:04.825","1:18.792","13","","17:48.955"
"9","120","Matias GOMEZ ORJUELA","5","Juvenil","KTM","Bogotá D.C.","Todo terreno track","1:13.715","1:18.728","13","","17:57.845"
"10","715","Joan esteban Valdez Osorio","4","Juvenil","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","1:18.534","1:17.798","13","","18:02.664"
"11","630","Samuel Andres PINTO DUARTE","3","Juvenil","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1 Vuelta","1:19.638","12","","16:47.555"
"12","24","Esteban CARDENAS RUIZ","2","Juvenil","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","1 Vuelta","1:21.393","12","","17:10.289"
"NE","121","Martin LONDOÑO VARGAS","0","Juvenil","Husqvarna","Bogotá D.C.","Xspeed Racing","NE","","","",""
"NE","815","kevin GONZALEZ PIEDRAHITA","0","Juvenil","Husqvarna","Quindío","CLUB DISCOVER QUINDIO","NE","","","",""
"NE","912","Laura Camila Bernal Cano","0","Juvenil","Husqvarna","Quindío","CLUB DISCOVER QUINDIO","NE","","","",""
