"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","Q ","R2. ","R3. "
"1","114","Miguel Angel LOPEZ MARTINEZ","200 Expertos","33","0","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","3","15","15"
"2","581-E","Cesar Sneyder HERRERA TELLEZ","200 Expertos","28","5","Tolima","GR 522 RACING","Honda","2","13","13"
"3","563","Jhon Jader Valero Palencia","200 Expertos","23","10","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1","11","11"
"4","132","Uberney VALENCIA MARTINEZ","200 Expertos","21","12","Valle del Cauca","Carasucias","Yamaha","1","10","10"
"5","926","Santiago LEON","200 Expertos","1","32","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","1","0","0"
