"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","Q ","R2. ","R3. "
"1","81","Santiago Garcés Jiménez","Libre novatos","30","0","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","2","15","13"
"2","88","Edison SAntiago GONZALEZ VELOZA","Libre novatos","26","4","Tolima","CLUB PISTON RACING","KTM","1","10","15"
"3","172","Brian Stiven ALVAREZ GRISALES","Libre novatos","24","6","Tolima","CLUB PISTON RACING","Honda","3","13","8"
"4","444","Faber Andrés giraldo","Libre novatos","23","7","Valle del Cauca","Carasucias","KTM","1","11","11"
"5","217","Hector Fabio Restrepo","Libre novatos","18","12","Valle del Cauca","Carasucias","KTM","1","7","10"
"6","488-E","Diego Antonio Arango Ocampo","Libre novatos","16","14","Tolima","CLUB PISTON RACING","Yamaha","1","6","9"
"7","92","Nelson Osorio","Libre novatos","16","14","Valle del Cauca","Carasucias","KTM","1","8","7"
"8","222","Albeiro Aldemar Alvear Ortega","Libre novatos","10","20","Valle del Cauca","Carasucias","KTM","1","9","0"
