"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","Q ","R2. ","R3. "
"1","132","Uberney VALENCIA MARTINEZ","Master","33","0","Valle del Cauca","Carasucias","KTM","3","15","15"
"2","222","Albeiro Aldemar Alvear Ortega","Master","28","5","Valle del Cauca","Carasucias","KTM","2","13","13"
"3","251","Eder Danny TAPIERO LOPEZ","Master","23","10","Valle del Cauca","MOTOCLUB TRAVESURAS","KTM","1","11","11"
"4","188","Edison Gonzales Botero","Master","11","22","Tolima","CLUB PISTON RACING","KTM","1","10","0"
