"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","141","Isabela VILLEGAS BRAND","15","Femenina","Yamaha","Valle del Cauca","Team Potenza","","1:20.496","11","","14:21.116"
"2","219","Aisha CASTRO","13","Femenina","KTM","Tolima","GR 522 RACING","35.011","1:25.438","11","","14:56.127"
"3","516","Laura Sofia BALCAZAR","11","Femenina","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1:32.277","1:29.373","11","","15:53.393"
"4","912","Laura Camila Bernal Cano","10","Femenina","Husqvarna","QuindÃ­o","CLUB DISCOVER QUINDIO","1 Vuelta","1:29.007","10","","14:25.421"
