"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","200 Expertos","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1:16.544","13","","16:12.030"
"2","581-E","Cesar Sneyder HERRERA TELLEZ","13","200 Expertos","Honda","Tolima","GR 522 RACING","15.276","1:16.787","13","","16:27.306"
"3","563","Jhon Jader Valero Palencia","11","200 Expertos","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","38.066","1:20.271","13","","16:50.096"
"4","132","Uberney VALENCIA MARTINEZ","10","200 Expertos","Yamaha","Valle del Cauca","Carasucias","1 Vuelta","1:23.783","12","","16:22.630"
"NT","926","Santiago LEON","0","200 Expertos","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","NT","","","",""
