"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","Q ","R2. ","R3. "
"1","141","Isabela VILLEGAS BRAND","Femenina","33","0","Valle del Cauca","Team Potenza","Yamaha","3","15","15"
"2","219","Aisha CASTRO","Femenina","28","5","Tolima","GR 522 RACING","KTM","2","13","13"
"3","516","Laura Sofia BALCAZAR","Femenina","23","10","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1","11","11"
"4","912","Laura Camila Bernal Cano","Femenina","21","12","QuindÃ­o","CLUB DISCOVER QUINDIO","Husqvarna","1","10","10"
