"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","Q ","R2. ","R3. "
"1","114","Miguel Angel LOPEZ MARTINEZ","125 cc","32","0","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","2","15","15"
"2","199","Nicolas Felipe REY REY","125 cc","29","3","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","3","13","13"
"3","710","Juan David MENDOZA DUARTE","125 cc","23","9","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1","11","11"
"4","630","Samuel Andres PINTO DUARTE","125 cc","20","12","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1","10","9"
"5","113","Tomas VERGARA ARANZAZU","125 cc","18","14","Antioquia","CLUB MOTOCROSS DE YARUMAL","Yamaha","1","7","10"
"6","130","Santiago GUTIERREZ CASTILLO","125 cc","17","15","Bogotá D.C.","Todo terreno track","GasGas","1","8","8"
"7","715","Joan esteban Valdez Osorio","125 cc","17","15","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","1","9","7"
