"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","139","Valentino ZULETA CARDONA","15","Infantil","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1:19.617","11","","15:17.608"
"2","121","Martin LONDOÑO VARGAS","13","Infantil","Cobra","Bogotá D.C.","Xspeed Racing","22.656","1:19.678","11","","15:40.264"
"3","888","Maximiliano YEPES ZAMORANO","11","Infantil","Yamaha","Antioquia","CLUB GRILLOS RACING","45.080","1:22.893","11","","16:02.688"
"4","717","Mariana ARISMEDI TRUJILLO","10","Infantil","Cobra","Bogotá D.C.","Todo terreno track","1:17.025","1:26.778","11","","16:34.633"
"5","729","Martin RODRIGUEZ ARANGO","9","Infantil","Husqvarna","Tolima","CLUB BUNDE ESPINAL","1:17.943","1:26.363","11","","16:35.551"
"6","716","Thomas Andres MAHECHA CARRILLO","8","Infantil","Cobra","Bogotá D.C.","Racing pilots Academy","1:19.194","1:26.681","11","","16:36.802"
"7","718","Emiliano IDROBO SERNA","7","Infantil","KTM","Risaralda","CLUB LOS GUEPARDOS","1:19.522","1:26.113","11","","16:37.130"
"8","138","Santiago BOHORQUEZ PULIDO","6","Infantil","KTM","Bogotá D.C.","Todo terreno track","1:28.794","1:27.076","11","","16:46.402"
"9","629","Jaivert Israel GUZMAN MENDEZ","5","Infantil","Yamaha","Tolima","GR 522 RACING","1 Vuelta","1:30.936","10","","15:53.083"
"10","221","Jeronimo CASTILLO JIMENEZ","4","Infantil","KTM","Bogotá D.C.","Xspeed Racing","1 Vuelta","1:30.901","10","","15:55.645"
