"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","Q ","R2. ","R3. "
"1","81","Santiago Garcés Jiménez","200 Novatos","31","0","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","3","13","15"
"2","172","Brian Stiven ALVAREZ GRISALES","200 Novatos","26","5","Tolima","CLUB PISTON RACING","Honda","2","11","13"
"3","88","Edison SAntiago GONZALEZ VELOZA","200 Novatos","26","5","Tolima","CLUB PISTON RACING","Honda","1","15","10"
"4","488-E","Diego Antonio Arango Ocampo","200 Novatos","22","9","Tolima","CLUB PISTON RACING","Honda","1","10","11"
"5","26","Rene Alberto ACOSTA CRIOLLO","200 Novatos","18","13","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","1","8","9"
"6","92","Nelson Osorio","200 Novatos","16","15","Valle del Cauca","Carasucias","Honda","1","7","8"
"7","123-E","BRAYAN ALFONSO SALGUERO","200 Novatos","9","22","Tolima","Moto Master Training","Yamaha","0","9","0"
