"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","221","Jeronimo CASTILLO JIMENEZ","15","Infantil mini","KTM","Bogotá D.C.","Xspeed Racing","","1:26.831","8","","12:10.887"
"2","255","Juan Jose LEYTON ERASO","13","Infantil mini","Cobra","Risaralda","CLUB LOS GUEPARDOS","9.579","1:27.034","8","","12:20.466"
"3","206","Juan Martin HOYOS VASQUEZ","11","Infantil mini","Yamaha","Antioquia","STUNT FIVE","10.340","1:26.915","8","","12:21.227"
"4","319","Samuel BELTRÁN PRIETO","10","Infantil mini","KTM","Tolima","GR 522 RACING","15.185","1:25.735","8","","12:26.072"
"5","716","Thomas Andres MAHECHA CARRILLO","9","Infantil mini","Yamaha","Bogotá D.C.","Racing pilots Academy","16.778","1:25.941","8","","12:27.665"
"6","717","Mariana ARISMEDI TRUJILLO","8","Infantil mini","Cobra","Bogotá D.C.","Todo terreno track","24.347","1:27.724","8","","12:35.234"
"7","10","Isaak Dominic CAICEDO CALLE","7","Infantil mini","Husqvarna","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","50.109","1:28.680","8","","13:00.996"
"8","133","Valery DIAZ VELASQUEZ","6","Infantil mini","Cobra","Bogotá D.C.","Todo terreno track","1:00.993","1:34.084","8","","13:11.880"
"9","927","Emiliano MENDEZ CANO","5","Infantil mini","GasGas","Risaralda","CLUB LOS GUEPARDOS","1 Vuelta","1:39.878","7","","12:49.836"
"10","248","VICTOR ALFONSO RODRIGUEZ GARCIA","4","Infantil mini","Yamaha","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","2 Vueltas","1:56.557","6","","12:21.722"
