"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","319","Samuel BELTRÁN PRIETO","Infantil enduro 1","1:35.436","4","","","15","12:20.465","","7","Tolima","KTM"
"2","255","Juan Jose LEYTON ERASO","Infantil enduro 1","1:38.684","3","8.430","8.430","13","12:28.895","","7","Risaralda","KTM"
"3","21","Jeronimo CASTILLO JIMENEZ","Infantil enduro 1","1:36.403","4","10.302","1.872","11","12:30.767","","7","Bogotá D.C.","KTM"
"4","831","Marthin Joel LIBERATO LONDOÑO","Infantil enduro 1","1:44.948","5","1 Vuelta","1 Vuelta","10","12:15.328","","6","Bogotá D.C.","Yamaha"
"5","78","Aranza ORTIZ ULLOA","Infantil enduro 1","1:55.861","4","1 Vuelta","19.932","9","12:35.260","","6","Cundinamarca","KTM"
"6","157","Agustín ARAGÓN JIMENEZ","Infantil enduro 1","1:51.557","5","2 Vueltas","1 Vuelta","8","12:27.820","","5","Quindío","Husqvarna"
"7","209","Jeronimo Alvaréz","Infantil enduro 1","2:24.177","4","2 Vueltas","36.466","7","13:04.286","","5","Valle",""
"8","110","Isaak Dominic CAICEDO CALLE","Infantil enduro 1","1:45.787","4","3 Vueltas","1 Vuelta","6","12:38.046","","4","Cundinamarca","KTM"
