"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","82","Carlos Eduardo PELAEZ LONDOÑO","Master B","5:12.888","14","","","15","1:45:27.685","","19","Antioquia","KTM"
"2","476","Adolfo León RENGIFO","Master B","6:10.106","4","3 Vueltas","3 Vueltas","13","1:46:04.406","","16","Valle del Cauca","Husqvarna"
"3","486","Andres Bernardo Mejia Londoño","Master B","5:49.556","14","3 Vueltas","18.031","11","1:46:22.437","","16","Tolima","KTM"
"4","477","Bernardo ALVAREZ ACERO","Master B","6:14.772","6","3 Vueltas","5:41.878","10","1:52:04.315","","16","Valle del Cauca","Husqvarna"
