"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","97","Juan David OLAYA LOPEZ","Enduro 2","4:45.931","13","","","15","1:51:20.433","","22","Valle del Cauca","Beta"
"2","89","Edwar Orlando GARZON ZAMORA","Enduro 2","4:53.640","12","1 Vuelta","1 Vuelta","13","1:49:43.330","","21","Tolima","Sherco"
"3","88","Pablo ANCIZAR KLOCH","Enduro 2","5:12.769","8","2 Vueltas","1 Vuelta","11","1:49:42.609","","20","Bogotá D.C.","Honda"
"4","264","Killer Danilo GONZALEZ ROJAS","Enduro 2","5:00.608","19","3 Vueltas","1 Vuelta","10","1:49:43.372","","19","Cundinamarca","Yamaha"
"5","27","Diego Fernando GUEVARA LINARES","Enduro 2","6:08.225","16","6 Vueltas","3 Vueltas","9","1:48:29.392","","16","Cundinamarca","KTM"
