"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","65","Tomas JARAMILLO CARRANZA","Enduro 1","4:38.418","20","","","15","1:49:56.036","","22","Bogotá D.C.","Honda"
"2","96","Nestor Felipe URBINA MORENO","Enduro 1","4:56.424","19","1 Vuelta","1 Vuelta","13","1:50:04.023","","21","Cundinamarca","Yamaha"
"3","817","Robinson Fabian GARCIA PASTOR","Enduro 1","5:01.662","19","3 Vueltas","2 Vueltas","11","1:50:06.112","","19","Tolima","Yamaha"
"4","44","Elmer Camilo CASTAÑO TORO","Enduro 1","5:24.117","18","4 Vueltas","1 Vuelta","10","1:49:28.128","","18","Cundinamarca","KTM"
"5","318","Oscar Javier CARVAJAL MOLINA","Enduro 1","5:27.874","18","4 Vueltas","1:55.750","9","1:51:23.878","","18","Cundinamarca","KTM"
"NT","327","james leonardo garcia calle","Enduro 1","5:16.618","1","NT","","0","49:58.233","","8","Valle del Cauca","KTM"
