"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","878","Sebastián Vela Villa","Inicio","5:33.192","9","","","15","1:04:57.018","","11","Cundinamarca","Beta"
"2","107","jorge Hernan montoya Jimenez","Inicio","6:04.486","5","1 Vuelta","1 Vuelta","13","1:04:57.033","","10","Caldas","KTM"
"3","55","Jorge Hernan Giraldo Gallego","Inicio","6:08.001","10","1 Vuelta","1:15.322","11","1:06:12.355","","10","Caldas","KTM"
"4","61","Brayhan Exneyder ALVAREZ RESTREPO","Inicio","6:05.341","10","1 Vuelta","4.428","10","1:06:16.783","","10","Antioquia","KTM"
"5","316","Fabio Esteban CULMA TIBADUIZA","Inicio","6:46.336","3","2 Vueltas","1 Vuelta","9","1:06:55.925","","9","Tolima","Sherco"
"NT","105","Hosney Bustos Bustos","Inicio","","0","NT","","0","","","","Cundinamarca","KTM"
