"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","75","Juan Pablo Cardona Carvajal","INICIO","Antioquia","15","Honda","CLUB MOTOCROSS YARUMAL","","1:32.078","12","","19:19.803"
"2","821","John Fredy Hernández Osorio","INICIO","CALDAS","13","YAMAHA","","6.830","1:36.867","12","","19:26.633"
"3","287","JOSE ANDRES SILVA SIMANCA","INICIO","Antioquia","11","Yamaha","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","1:39.566","11","","19:34.850"
"4","58","Diego Ignacio ROJAS ROSERO","INICIO","Nariño","10","Yamaha","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","1:45.789","11","","19:51.043"
"5","97","Juan Camilo Restrepo Ospina","INICIO","Antioquia","9","Yamaha","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","1:38.991","11","","20:03.318"
"6","61","Luis Fernando LOPEZ","INICIO","Putumayo","8","Husqvarna","CLUB EXTREME RACING","1 Vuelta","1:52.292","11","","20:53.378"
"7","750","FREDDY ANDRES HOLGUIN LOAIZA","INICIO","Meta","7","Yamaha","CLUB DE MOTOCICLISMO SANTIHC 146","2 Vueltas","1:52.927","10","","20:04.661"
"NT","89","Luis Felipe PALOMINO MEJIA","INICIO","Tolima - DEPARTAMENTAL","0","Yamaha","CLUB PISTON RACING","NT","1:35.507","10","","17:23.209"
"NT","92-E","Jhon wilmar Quirama Arredondo","INICIO","Antioquia","0","Kawasaki","CLUB GRILLOS RACING","NT","","","",""
