"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","53","Simón RESTREPO GUZMAN","MX PRE-EXPERTOS","Antioquia","15","LGP Mobility","CLUB MOTOCROSS YARUMAL","","1:25.289","13","","19:35.757"
"2","811","SEBASTIAN LOPEZ MONCAYO","MX PRE-EXPERTOS","Nariño","13","Yamaha","CLUB DEPORTIVO BUFALO XTREM","1:00.208","1:34.783","13","","20:35.965"
"3","821","John Fredy Hernández Osorio","MX PRE-EXPERTOS","CALDAS","11","YAMAHA","","1:04.857","1:34.472","13","","20:40.614"
"4","612","Alejandro DIAZ GARCIA","MX PRE-EXPERTOS","Valle del Cauca","10","Yamaha","Carasucias","1 Vuelta","1:39.196","12","","20:40.348"
"5","4","Mauricio Alexander URBANO QUINTAZ","MX PRE-EXPERTOS","Putumayo","9","Husqvarna","CLUB DEPORTIVO TEAM BASVI","3 Vueltas","1:48.672","10","","19:47.103"
