"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","919","David CHACON GUZMAN","MX PRO","Bogotá D.C.","15","Honda","Todo terreno track","","1:21.520","17","","23:38.152"
"2","170","Juan Jose HOYOS VELEZ","MX PRO","Risaralda","13","KTM","CLUB ENDUROCROSS","1 Vuelta","1:23.347","16","","23:39.253"
"NT","38","PABLO MOGOLLON","MX PRO","Antioquia","0","YAMAHA","","NT","1:20.769","9","","12:34.064"
"NT","211","Yeison Alexander QUIÑONES RICO","MX PRO","Santander","0","Honda","CLUB DEPORTIVO SANTANDER MAX EXTREMO","NT","","","",""
