"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","53","Simón RESTREPO GUZMAN","MX PRE-EXPERTOS","1:25.289","0","3","15","15"
"2","811","SEBASTIAN LOPEZ MONCAYO","MX PRE-EXPERTOS","1:33.544","5","2","13","13"
"3","821","John Fredy Hernández Osorio","MX PRE-EXPERTOS","1:33.830","10","1","11","11"
"4","4","Mauricio Alexander URBANO QUINTAZ","MX PRE-EXPERTOS","1:38.656","13","1","9","10"
"5","612","Alejandro DIAZ GARCIA","MX PRE-EXPERTOS","1:38.924","13","1","10","9"
