"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","Mx 2","Putumayo","15","KTM","TEAM RACING MOCOA","","1:21.786","15","","23:16.434"
"2","71","JERONIMO ROMAN VELASQUEZ","Mx 2","Antioquia","13","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","1:03.231","1:26.446","15","","24:19.665"
"3","710","Juan David MENDOZA DUARTE","Mx 2","Meta","11","Yamaha","VILLAVICENCIO RACING CLUB","1:19.519","1:29.371","15","","24:35.953"
"4","107","Miguel Angel FLOREZ VALENCIA","Mx 2","Antioquia","10","Honda","CLUB ANTIOQUIA 2 RUEDAS RACER","1:30.254","1:30.779","15","","24:46.688"
"5","114","Miguel Angel LOPEZ MARTINEZ","Mx 2","Quindío","9","Yamaha","CLUB RUTEROS DEL QUINDIO","7 Vueltas","1:21.969","8","","26:12.295"
"NT","211","Yeison Alexander QUIÑONES RICO","Mx 2","Santander","0","Honda","CLUB DEPORTIVO SANTANDER MAX EXTREMO","NT","","","",""
