"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","Mx 2","Quindío","3","Yamaha","CLUB RUTEROS DEL QUINDIO","","1:20.816","8","","10:59.361"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","Mx 2","Putumayo","2","KTM","TEAM RACING MOCOA","11.636","1:20.962","8","","11:10.997"
"3","71","JERONIMO ROMAN VELASQUEZ","Mx 2","Antioquia","1","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","46.427","1:24.258","8","","11:45.788"
"4","710","Juan David MENDOZA DUARTE","Mx 2","Meta","1","Yamaha","VILLAVICENCIO RACING CLUB","57.470","1:27.955","8","","11:56.831"
"5","107","Miguel Angel FLOREZ VALENCIA","Mx 2","Antioquia","1","Honda","CLUB ANTIOQUIA 2 RUEDAS RACER","1:07.992","1:28.419","8","","12:07.353"
"6","211","Yeison Alexander QUIÑONES RICO","Mx 2","Santander","1","Honda","CLUB DEPORTIVO SANTANDER MAX EXTREMO","1:42.055","1:23.696","8","","12:41.416"
