"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","Mx 2","1:20.962","0","2","13","15"
"2","114","Miguel Angel LOPEZ MARTINEZ","Mx 2","1:20.816","3","3","15","9"
"3","71","JERONIMO ROMAN VELASQUEZ","Mx 2","1:24.258","5","1","11","13"
"4","710","Juan David MENDOZA DUARTE","Mx 2","1:27.955","8","1","10","11"
"5","107","Miguel Angel FLOREZ VALENCIA","Mx 2","1:28.419","11","1","8","10"
"6","211","Yeison Alexander QUIÑONES RICO","Mx 2","1:23.696","20","1","9","0"
