"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","555","Luciana MORENO SALCEDO","Femenina A","Bogotá D.C.","15","Yamaha","Xspeed Racing","","1:35.540","12","","19:41.881"
"2","141","Isabela VILLEGAS BRAND","Femenina A","Valle del Cauca - DEPARTAMENTAL","13","Yamaha","Team Potenza","23.539","1:38.067","12","","20:05.420"
"3","727","Alexandra NARVAEZ OLAYA","Femenina A","Risaralda","11","Honda","CLUB LOS GUEPARDOS","1:00.575","1:41.247","12","","20:42.456"
"4","834","Valery Fernanda ARIAS ARCOS","Femenina A","Cauca","10","Yamaha","CLUB CORONA CLUB XTREME PARK","1 Vuelta","1:44.174","11","","20:01.947"
"5","828","Karol Melisa VARGAS CARVAJAL","Femenina A","Antioquia","9","LGP Mobility","CLUB MOTOCROSS YARUMAL","6 Vueltas","1:47.646","6","","21:13.642"
