"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","141","Isabela VILLEGAS BRAND","Femenina A","Valle del Cauca - DEPARTAMENTAL","3","Yamaha","Team Potenza","","1:35.855","7","","10:48.162"
"2","727","Alexandra NARVAEZ OLAYA","Femenina A","Risaralda","2","Honda","CLUB LOS GUEPARDOS","16.604","1:36.283","7","","11:04.766"
"3","555","Luciana MORENO SALCEDO","Femenina A","Bogotá D.C.","1","Yamaha","Xspeed Racing","21.500","1:36.018","7","","11:09.662"
"4","828","Karol Melisa VARGAS CARVAJAL","Femenina A","Antioquia","1","LGP Mobility","CLUB MOTOCROSS YARUMAL","30.920","1:39.098","7","","11:19.082"
"5","834","Valery Fernanda ARIAS ARCOS","Femenina A","Cauca","1","Yamaha","CLUB CORONA CLUB XTREME PARK","1:12.765","1:45.613","7","","12:00.927"
