"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","919","David CHACON GUZMAN","MX PRO","Bogotá D.C.","15","Honda","Todo terreno track","","1:22.326","16","","23:30.374"
"2","38","PABLO MOGOLLON","MX PRO","Antioquia","13","YAMAHA","","34.821","1:22.142","16","","24:05.195"
"3","170","Juan Jose HOYOS VELEZ","MX PRO","Risaralda","11","KTM","CLUB ENDUROCROSS","1:27.603","1:24.846","16","","24:57.977"
"NE","211","Yeison Alexander QUIÑONES RICO","MX PRO","Santander","0","Honda","CLUB DEPORTIVO SANTANDER MAX EXTREMO","NE","","","",""
