"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","36","Jhon Jairo PINEDA VELASQUEZ","MX MASTER","Caldas","15","Honda","CLUB DE MOTOCICLISMO JP36","","1:31.096","11","","18:43.100"
"2","79","Ricardo RESTREPO URIBE","MX MASTER","Antioquia","13","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","44.256","1:33.694","11","","19:27.356"
"3","214","Damian Monroy Valencia","MX MASTER","Antioquia","11","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","1:11.801","1:37.639","11","","19:54.901"
"4","11","German Dario TREJO COLLAZOS","MX MASTER","Nariño","10","Yamaha","CLUB JOSMARC MOTOS RACING","1 Vuelta","1:42.733","10","","19:56.040"
"5","778","Fredy Alberto Holguin Farfan","MX MASTER","Meta","9","Yamaha","CLUB DE MOTOCICLISMO SANTIHC 146","3 Vueltas","2:00.691","8","","19:51.674"
"6","311","Henry MORENO BENAVIDES","MX MASTER","Nariño","8","KTM","CLUB MOTEROS RIDERS LA UNION","5 Vueltas","2:52.058","6","","20:29.767"
"NT","523","Richard Alexander ALARCON ALVAREZ","MX MASTER","Putumayo","0","Kawasaki","CLUB EXTREME RACING","NT","","","",""
