"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","36","Jhon Jairo PINEDA VELASQUEZ","MX MASTER","Caldas","15","Honda","CLUB DE MOTOCICLISMO JP36","","1:29.681","12","","18:13.259"
"2","79","Ricardo RESTREPO URIBE","MX MASTER","Antioquia","13","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","1:02.892","1:34.224","12","","19:16.151"
"3","214","Damian Monroy Valencia","MX MASTER","Antioquia","11","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","1:25.656","1:36.985","12","","19:38.915"
"4","11","German Dario TREJO COLLAZOS","MX MASTER","Nariño","10","Yamaha","CLUB JOSMARC MOTOS RACING","1 Vuelta","1:41.403","11","","18:57.092"
"5","523","Richard Alexander ALARCON ALVAREZ","MX MASTER","Putumayo","9","Kawasaki","CLUB EXTREME RACING","2 Vueltas","1:54.355","10","","20:01.425"
"6","778","Fredy Alberto Holguin Farfan","MX MASTER","Meta","8","Yamaha","CLUB DE MOTOCICLISMO SANTIHC 146","3 Vueltas","1:59.855","9","","18:45.660"
"7","311","Henry MORENO BENAVIDES","MX MASTER","Nariño","7","KTM","CLUB MOTEROS RIDERS LA UNION","4 Vueltas","2:35.364","8","","20:27.539"
