"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","53","Simón RESTREPO GUZMAN","MX PRE-EXPERTOS","Antioquia","3","LGP Mobility","CLUB MOTOCROSS YARUMAL","","1:26.306","7","","10:08.133"
"2","811","SEBASTIAN LOPEZ MONCAYO","MX PRE-EXPERTOS","Nariño","2","Yamaha","CLUB DEPORTIVO BUFALO XTREM","41.256","1:33.544","7","","10:49.389"
"3","821","John Fredy Hernández Osorio","MX PRE-EXPERTOS","CALDAS","1","YAMAHA","","45.196","1:33.830","7","","10:53.329"
"4","4","Mauricio Alexander URBANO QUINTAZ","MX PRE-EXPERTOS","Putumayo","1","Husqvarna","CLUB DEPORTIVO TEAM BASVI","1:11.810","1:38.656","7","","11:19.943"
"5","612","Alejandro DIAZ GARCIA","MX PRE-EXPERTOS","Valle del Cauca","1","Yamaha","Carasucias","1:26.841","1:38.924","7","","11:34.974"
