"Pos.","N°","Nombre","Clase","Mejor T° total","Dif. resp. 1°","Q ","R1 ","R2 "
"1","919","David CHACON GUZMAN","MX PRO","1:19.317","0","3","15","15"
"2","170","Juan Jose HOYOS VELEZ","MX PRO","1:20.567","8","1","11","13"
"3","38","PABLO MOGOLLON","MX PRO","1:18.662","18","2","13","0"
"4","211","Yeison Alexander QUIÑONES RICO","MX PRO","1:32.609","32","1","0","0"
