"Pos.","N°","Nombre","Clase","LIGA","Puntos","MOTO","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 CC","Putumayo","15","Husqvarna","TEAM RACING MOCOA","","1:34.200","15","","24:21.741"
"2","114","Miguel Angel LOPEZ MARTINEZ","125 CC","Quindío","13","Yamaha","CLUB RUTEROS DEL QUINDIO","21.122","1:36.701","15","","24:42.863"
"3","36-2","Thomas PINEDA GONZALEZ","125 CC","Caldas","11","Honda","CLUB DE MOTOCICLISMO JP36","1:12.634","1:36.832","15","","25:34.375"
"4","630","Samuel Andres PINTO DUARTE","125 CC","Meta","10","Yamaha","VILLAVICENCIO RACING CLUB","1 Vuelta","1:41.880","14","","24:37.903"
"5","700","Maximiliano GUERRA ALVAREZ","125 CC","Antioquia","9","Yamaha","CLUB GRILLOS RACING","1 Vuelta","1:44.185","14","","24:49.654"
"6","222","Maximiliano RAMIREZ RESTREPO","125 CC","Antioquia","8","Yamaha","STUNT FIVE","1 Vuelta","1:40.368","14","","25:41.066"
"7","710","Juan David MENDOZA DUARTE","125 CC","Meta","7","Yamaha","VILLAVICENCIO RACING CLUB","2 Vueltas","1:44.360","13","","24:24.571"
"8","247","Martin Estrada Zapata","125 CC","Antioquia","6","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","2 Vueltas","1:49.062","13","","24:26.957"
"9","244","Alejandro ANGEL ISAZA","125 CC","Valle del Cauca","5","Yamaha","Carasucias","2 Vueltas","1:44.873","13","","24:45.151"
"10","464-E","MATHIAS URREA MORENO","125 CC","Antioquia","4","Husqvarna","CLUB GRILLOS RACING","4 Vueltas","2:11.588","11","","25:05.403"
"11","220-E","SEBASTIAN RIOS CONGOTE","125 CC","Antioquia","3","Yamaha","CLUB MOTOCROSS DE YARUMAL","5 Vueltas","2:20.665","10","","24:56.321"
"12","328","Michelle Lacharme","125 CC","Antioquia","2","KTM","CLUB DE MOTOCICLISMO STUNT FIVE","8 Vueltas","2:18.670","7","","26:57.905"
