"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","125 cc","1:19.756","3","","","15","17:03.574",""
"2","199","Nicolas Felipe REY REY","125 cc","1:22.328","3","13.436","13.436","13","17:17.010",""
"3","318","Samuel ARDILA","125 cc","1:24.030","3","1:03.406","49.970","11","18:06.980",""
"4","411","Juan Sebastian GIRON CARVAJAL","125 cc","1:27.029","5","1:28.573","25.167","10","18:32.147",""
"5","722","Alan HERNANDEZ RABE","125 cc","1:26.039","7","1 Vuelta","1 Vuelta","9","17:20.924",""
"6","926","Santiago LEON","125 cc","1:29.520","7","1 Vuelta","5.455","8","17:26.379",""
"7","244","Alejandro ANGEL ISAZA","125 cc","1:26.716","7","1 Vuelta","17.677","7","17:44.056",""
"8","630","Samuel Andres PINTO DUARTE","125 cc","1:28.573","9","1 Vuelta","9.745","6","17:53.801",""
"9","710","Juan David MENDOZA DUARTE","125 cc","1:27.522","3","1 Vuelta","15.680","5","18:09.481",""
"10","715","Joan esteban Valdez Osorio","125 cc","1:32.105","7","1 Vuelta","6.546","4","18:16.027",""
"11","612","Alejandro DIAZ GARCIA","125 cc","1:32.065","6","2 Vueltas","1 Vuelta","3","18:25.767",""
"12","130","Santiago GUTIERREZ CASTILLO","125 cc","1:30.900","5","2 Vueltas","3.969","2","18:29.736",""
"NT","269","Jhon santiago HERNANDEZ BERMUDEZ","125 cc","","0","NT","","0","",""
