"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","251","Eder Danny TAPIERO LOPEZ","Master","1:28.192","8","","","15","14:06.264",""
"2","132","Uberney VALENCIA MARTINEZ","Master","1:30.277","5","51.670","51.670","13","14:57.934",""
"3","O-225","Albeiro Aldear","Master","1:31.181","1","1:17.292","25.622","11","15:23.556",""
"4","523","RICHARD ALEXANDER ALARCON ALVAREZ","Master","1:30.329","7","1:29.380","12.088","10","15:35.644",""
"5","311","Henry MORENO BENAVIDES","Master","1:36.032","7","1:52.594","23.214","9","15:58.858",""
"6","108-E","Diego obando","Master","1:35.544","7","1 Vuelta","1 Vuelta","8","14:47.904",""
"7","188","Edison Gonzales Botero","Master","1:40.308","7","1 Vuelta","6.769","7","14:54.673",""
"8","227","CARLOS ALBERTO LUCERO","Master","1:43.559","5","1 Vuelta","39.207","6","15:33.880",""
"9","202","Ivan Dario BENAVIDES FAJARDO","Master","1:51.693","4","2 Vueltas","1 Vuelta","5","14:40.973",""
"10","77","German Dario TREJO COLLAZOS","Master","1:46.484","6","2 Vueltas","29.461","4","15:10.434",""
