"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","200 Expertos","1:15.562","4","","","15","13:21.447",""
"2","229","Rubén Dario peña hoyos","200 Expertos","1:18.185","4","33.568","33.568","13","13:55.015",""
"3","563","Jhon Jader Valero Palencia","200 Expertos","1:17.037","10","34.162","0.594","11","13:55.609",""
"4","983","EDINSON ANDRES CASAS PLAZA","200 Expertos","1:18.448","3","1:15.991","41.829","10","14:37.438",""
"5","346","Yurk Breiner CORREA PEREZ","200 Expertos","1:22.621","7","1 Vuelta","1 Vuelta","9","14:08.274",""
"6","132","Uberney VALENCIA MARTINEZ","200 Expertos","1:24.350","2","2 Vueltas","1 Vuelta","8","13:51.004",""
"NT","710","Juan David MENDOZA DUARTE","200 Expertos","","0","NT","","0","",""
"NT","722","Alan HERNANDEZ RABE","200 Expertos","","0","NT","","0","",""
"NT","926","Santiago LEON","200 Expertos","","0","NT","","0","",""
