"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","149","Alicia Goggel Correa","Femenina A","15","Bogotá D.C.","Racing pilots Academy","","Yamaha","8","1:46.150"
"2","555","Luciana MORENO SALCEDO","Femenina A","13","Bogotá D.C.","Xspeed Racing","1:09.805","Yamaha","8","1:46.183"
"3","141","Isabela VILLEGAS BRAND","Femenina A","11","Valle del Cauca","Team Potenza","1:23.413","Yamaha","8","1:49.453"
"4","834","Valery Fernanda ARIAS ARCOS","Femenina A","10","Cauca","CLUB BUFALO XTREM PARK","1 Vuelta","Yamaha","7","2:02.418"
"5","828","Karol Melisa VARGAS CARVAJAL","Femenina A","9","Antioquia","CLUB MOTOCROSS YARUMAL","2 Vueltas","LGP Mobility","6","2:20.941"
