"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","35","Juan Angel MORALES GALLEGO","65 cc","3","Antioquia","CLUB GRILLOS RACING","","Yamaha","7","1:33.843"
"2","888","Maximiliano YEPES ZAMORANO","65 cc","2","Antioquia","CLUB GRILLOS RACING","2.566","Yamaha","7","1:26.850"
"3","139","Valentino ZULETA CARDONA","65 cc","1","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","15.908","KTM","7","1:20.651"
"4","121","Martin LONDOÑO VARGAS","65 cc","1","Bogotá D.C.","Xspeed Racing","1:36.388","Cobra","7","1:39.138"
"5","916","Oskar David VERGARA ARIZA","65 cc","1","Antioquia","CLUB MOTOCROSS YARUMAL","1:42.872","Yamaha","7","1:46.293"
"6","215","Sebastian LOPEZ CORTES","65 cc","1","Nariño","CLUB BUFALO XTREM PARK","1 Vuelta","KTM","6","1:54.443"
"7","998","Jeronimo pulgarin cardona","65 cc","1","Antioquia","CLUB MOTOCROSS DE YARUMAL","2 Vueltas","Yamaha","5","1:52.464"
"8","602","dominic diaz herrera","65 cc","1","Bogotá D.C.","Xspeed Racing","2 Vueltas","GasGas","5","2:13.997"
"NT","12","Lucas VALENCIA MEJIA","65 cc","0","Bogotá D.C.","Racing pilots Academy","NT","KTM","",""
