"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","98-E","salome henao torres","Femenina B","33","0","Yamaha","Antioquia","CLUB GRILLOS RACING","3","15","15"
"2","28","Sofia ESCOBAR HINCAPIE","Femenina B","28","5","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","2","13","13"
