"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","54","Thomas ZULUAGA GIRALDO","Mx 2","15","Antioquia","CLUB GRILLOS RACING","","Yamaha","14","1:32.895"
"2","211","Yeison Alexander QUIÑONES RICO","Mx 2","13","Santander","CLUB MOTO FULL RACING TEAM","56.355","Honda","14","1:34.921"
"3","228","Jeronimo DAMELINES LOAIZA","Mx 2","11","Risaralda","CLUB LOS GUEPARDOS","1 Vuelta","Husqvarna","13","1:38.594"
"4","710","Juan David MENDOZA DUARTE","Mx 2","10","Meta","VILLAVICENCIO RACING CLUB","2 Vueltas","KTM","12","1:47.212"
"5","627","JERONIMO ROMAN VELASQUEZ","Mx 2","9","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","3 Vueltas","Yamaha","11","1:42.667"
"NT","114","Miguel Angel LOPEZ MARTINEZ","Mx 2","0","Quindío","CLUB RUTEROS DEL QUINDIO","NT","GasGas","",""
