"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","141","Isabela VILLEGAS BRAND","Femenina A","3","Valle del Cauca","Team Potenza","","Yamaha","7","1:31.166"
"2","555","Luciana MORENO SALCEDO","Femenina A","2","Bogotá D.C.","Xspeed Racing","9.537","Yamaha","7","1:29.306"
"3","149","Alicia Goggel Correa","Femenina A","1","Bogotá D.C.","Racing pilots Academy","9.538","Yamaha","7","1:31.754"
"4","828","Karol Melisa VARGAS CARVAJAL","Femenina A","1","Antioquia","CLUB MOTOCROSS YARUMAL","2 Vueltas","LGP Mobility","5","1:40.525"
"NT","834","Valery Fernanda ARIAS ARCOS","Femenina A","0","Cauca","CLUB BUFALO XTREM PARK","NT","Yamaha","",""
