"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","98-E","salome henao torres","Femenina B","15","Antioquia","CLUB GRILLOS RACING","","Yamaha","7","2:11.356"
"2","28","Sofia ESCOBAR HINCAPIE","Femenina B","13","Caldas","CLUB VILLAMARIA RACING CLUB","3 Vueltas","Yamaha","4","3:16.802"
