"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","149","Alicia Goggel Correa","Femenina A","31","2","Yamaha","Bogotá D.C.","Racing pilots Academy","1","15","15"
"2","141","Isabela VILLEGAS BRAND","Femenina A","27","6","Yamaha","Valle del Cauca","Team Potenza","3","13","11"
"3","555","Luciana MORENO SALCEDO","Femenina A","26","7","Yamaha","Bogotá D.C.","Xspeed Racing","2","11","13"
"4","828","Karol Melisa VARGAS CARVAJAL","Femenina A","20","13","LGP Mobility","Antioquia","CLUB MOTOCROSS YARUMAL","1","10","9"
"5","834","Valery Fernanda ARIAS ARCOS","Femenina A","19","14","Yamaha","Cauca","CLUB BUFALO XTREM PARK","0","9","10"
