"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","111","Martin OSPINA CUELLO","85 cc Junior","15","Bogotá D.C.","Xspeed Racing","","Yamaha","10","1:37.575"
"2","222","Maximiliano RAMIREZ RESTREPO","85 cc Junior","13","Antioquia","STUNT FIVE","30.174","Yamaha","10","1:41.694"
"3","120","Matias GOMEZ ORJUELA","85 cc Junior","11","Bogotá D.C.","Todo terreno track","1 Vuelta","KTM","9","1:58.095"
"4","113","Tomas VERGARA ARANZAZU","85 cc Junior","10","Antioquia","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","Yamaha","9","1:47.985"
"5","301","Sebastian SANDOVAL VERGARA","85 cc Junior","9","Bogotá D.C.","Xspeed Racing","2 Vueltas","KTM","8","2:04.290"
"6","331","Juan Pablo CARMONA GIRALDO","85 cc Junior","8","Bogotá D.C.","Todo terreno track","4 Vueltas","GasGas","6","2:00.861"
"NT","120","Matias GOMEZ ORJUELA","85 cc Junior","0","Bogotá D.C.","Todo terreno track","NT","KTM","",""
"NT","98-E","salome henao torres","85 CC JUNIOR","0","Antioquia","CLUB GRILLOS RACING","NT","Yamaha","",""
